latitude,longitude,price
37.77564235,-122.4555352,10.00
37.77320145,-122.4062453,10.00
37.78484809,-122.412703,10.00
37.77473575,-122.4202042,10.00
37.75180136,-122.4307291,10.00
37.79296659,-122.3955151,10.00
37.79315633,-122.405857,19.00
37.78806731,-122.4165995,20.00
37.76181058,-122.4250373,20.00
37.79321771,-122.4053831,22.00
37.71592053,-122.4839048,22.00
37.76082204,-122.4191647,24.00
37.78626102,-122.4252175,25.00
37.75053586,-122.4422492,25.00
37.72036676,-122.4779354,26.00
37.79471952,-122.4051877,29.00
37.79290807,-122.4063746,29.00
37.79455322,-122.4060035,29.00
37.79418392,-122.4058186,29.00
37.79478217,-122.4059171,29.00
37.79294123,-122.4065867,29.00
37.79359559,-122.405764,29.00
37.71475894,-122.4732506,29.00
37.71213157,-122.4395586,29.00
37.74589509,-122.4817409,29.00
37.74406778,-122.4806676,29.00
37.74536765,-122.4824704,29.00
37.74432313,-122.4806966,29.00
37.74582802,-122.4812639,29.00
37.75113789,-122.4078503,30.00
37.72720178,-122.3716996,30.00
37.73881537,-122.4944667,30.00
37.75135949,-122.4773924,32.00
37.74988696,-122.4776792,32.00
37.75783386,-122.4130874,33.00
37.75667816,-122.4147033,33.00
37.78765676,-122.4204701,33.00
37.75818094,-122.4128755,33.00
37.7690889,-122.4239827,34.00
37.77731342,-122.3987558,34.00
37.74564986,-122.4820715,34.00
37.79224809,-122.3932705,34.00
37.7141142,-122.4662205,34.00
37.71793837,-122.4085793,35.00
37.77855987,-122.4616524,36.00
37.7373672,-122.3923485,36.00
37.79313112,-122.4048186,36.00
37.7793979,-122.397159,37.00
37.77640687,-122.4614146,38.00
37.77459081,-122.3942967,38.00
37.79938244,-122.4054875,38.00
37.79909017,-122.4063149,38.00
37.79926264,-122.4043223,38.00
37.79882906,-122.4047389,38.00
37.79893943,-122.4059606,38.00
37.79845076,-122.4044535,38.00
37.79892025,-122.4040845,38.00
37.7987506,-122.4047565,38.00
37.79891369,-122.4061133,38.00
37.79845009,-122.4047763,38.00
37.7992574,-122.4047635,38.00
37.7993326,-122.4062857,38.00
37.76122372,-122.4838492,38.00
37.73446387,-122.4645464,39.00
37.78554866,-122.4630002,39.00
